 CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANAL,PES,RSP,FXM,C_PRI_PRD,C_PVEM_PT_MORENA_PANAL,C_PVEM_PT_MORENA,C_PVEM_PT_PANAL,C_PVEM_MORENA_PANAL,C_PT_MORENA_PANAL,C_PVEM_PT,C_PVEM_MORENA,C_PVEM_PANAL,C_PT_MORENA,C_PT_PANAL,C_MORENA_PANAL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
190033C0100,190033C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,33,1,C,0,2,2,,,,,56,111,2,2,5,84,19,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,289,629,12, Por MAC,1,I,,,9/6/2021 12:40,,,,-
190034B0100,190034B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,34,1,B,0,2,2,0,,,,36,59,2,5,4,59,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,193,401,12, Por Recuento,1,I,,,12/6/2021 13:45,,,,-
190034C0100,190034C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,34,1,C,0,2,2,0,,,,4,59,0,1,9,53,21,4,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,17,,173,400,12, Por Recuento,1,I,,,12/6/2021 14:55,,,,-
190035B0100,190035B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,35,1,B,0,2,2,,,,,28,31,1,6,2,40,11,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,,137,311,12, Por MAC,1,I,,,9/6/2021 12:49,,,,-
190036B0100,190036B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,36,1,B,0,2,2,,,,,36,62,1,2,1,50,10,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,173,358,12, Por MAC,1,I,,,9/6/2021 12:50,,,,-
190037B0100,190037B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,37,1,B,0,2,2,0,,,,44,85,1,6,3,87,29,6,0,8,3,0,0,0,0,0,1,0,0,0,1,0,1,0,14,,289,659,12, Por Recuento,1,I,,,12/6/2021 13:54,,,,-
190038B0100,190038B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,38,1,B,0,2,2,,,,,52,121,0,4,7,100,12,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,319,699,12, Por MAC,1,I,,,9/6/2021 12:55,,,,-
190039B0100,190039B01002,19,NUEVO LEON,5,Anahuac,21,DISTRITO 21,39,1,B,0,1,2,,,,,70,158,2,2,2,82,52,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,389,620,12, Por MAC,1,D,,,9/6/2021 10:10,,,,-
190039C0100,190039C01002,19,NUEVO LEON,5,Anahuac,21,DISTRITO 21,39,1,C,0,1,2,0,,,,64,137,2,3,2,66,56,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,20,,357,619,12, Por Recuento,1,D,,,12/6/2021 13:21,,,,-
190040B0100,190040B01002,19,NUEVO LEON,5,Anahuac,21,DISTRITO 21,40,1,B,0,1,2,,,,,63,168,0,0,4,119,45,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,411,699,12, Por MAC,1,D,,,9/6/2021 10:15,,,,-
